Epoch 319  val_rmse(scaled)=0.00761
Epoch 320  val_rmse(scaled)=0.00699
Epoch 321  val_rmse(scaled)=0.00732
Epoch 322  val_rmse(scaled)=0.00739
Epoch 323  val_rmse(scaled)=0.00776
Epoch 324  val_rmse(scaled)=0.00733
Epoch 325  val_rmse(scaled)=0.00759
Epoch 326  val_rmse(scaled)=0.00733
Epoch 327  val_rmse(scaled)=0.00762
Epoch 328  val_rmse(scaled)=0.00783
Epoch 329  val_rmse(scaled)=0.00835
Epoch 330  val_rmse(scaled)=0.00727
Epoch 331  val_rmse(scaled)=0.00743
Epoch 332  val_rmse(scaled)=0.00855
Epoch 333  val_rmse(scaled)=0.00720
Epoch 334  val_rmse(scaled)=0.00731
Epoch 335  val_rmse(scaled)=0.00731
Epoch 336  val_rmse(scaled)=0.00760
Epoch 337  val_rmse(scaled)=0.00706
Epoch 338  val_rmse(scaled)=0.00761
Epoch 339  val_rmse(scaled)=0.00732
Epoch 340  val_rmse(scaled)=0.00763
Epoch 341  val_rmse(scaled)=0.00753
Epoch 342  val_rmse(scaled)=0.00754
Epoch 343  val_rmse(scaled)=0.00736
Epoch 344  val_rmse(scaled)=0.00718
Epoch 345  val_rmse(scaled)=0.00860
Epoch 346  val_rmse(scaled)=0.00743
Epoch 347  val_rmse(scaled)=0.00801
Epoch 348  val_rmse(scaled)=0.00760
Epoch 349  val_rmse(scaled)=0.00775
Epoch 350  val_rmse(scaled)=0.00749
Epoch 351  val_rmse(scaled)=0.00783
Epoch 352  val_rmse(scaled)=0.00738
Epoch 353  val_rmse(scaled)=0.00757
Epoch 354  val_rmse(scaled)=0.00773
Epoch 355  val_rmse(scaled)=0.00710
Epoch 356  val_rmse(scaled)=0.00711
Epoch 357  val_rmse(scaled)=0.00753
Epoch 358  val_rmse(scaled)=0.00742
Epoch 359  val_rmse(scaled)=0.00815
Epoch 360  val_rmse(scaled)=0.00756
Epoch 361  val_rmse(scaled)=0.00754
Epoch 362  val_rmse(scaled)=0.00725
Epoch 363  val_rmse(scaled)=0.00758
Epoch 364  val_rmse(scaled)=0.00737
Epoch 365  val_rmse(scaled)=0.00761
Epoch 366  val_rmse(scaled)=0.00781
Epoch 367  val_rmse(scaled)=0.00782
Epoch 368  val_rmse(scaled)=0.00741
Epoch 369  val_rmse(scaled)=0.00727
Epoch 370  val_rmse(scaled)=0.00769
Early stopping at epoch 370
Best val RMSE (scaled): 0.00699
